Storm Name,DateTime(BJT),Intensity Category,Latitude (°N),Longitude (°E),Pressure (hPa),Max Sustained Wind (m/s)
Vernon,1984060800,1,12.0,113.5,1003,12
Vernon,1984060806,1,12.5,112.9,1002,15
Vernon,1984060812,1,13.0,112.6,1002,15
Vernon,1984060818,1,13.5,112.4,999,15
Vernon,1984060900,1,14.0,112.3,999,15
Vernon,1984060906,2,14.3,112.1,998,20
Vernon,1984060912,2,14.8,111.9,994,20
Vernon,1984060918,2,15.2,111.2,994,20
Vernon,1984061000,2,15.5,109.8,995,20
Vernon,1984061006,2,16.1,108.9,996,20
Vernon,1984061012,2,17.0,107.5,998,20
Vernon,1984061018,1,16.7,106.5,1000,15
Vernon,1984061100,1,16.3,104.5,1000,12
Ophelia,1958010700,1,4.2,170.9,1000,15
Ophelia,1958010706,2,4.8,170.2,995,20
Ophelia,1958010712,3,5.3,169.3,990,25
Ophelia,1958010718,4,5.7,168.3,980,35
Ophelia,1958010800,6,6.2,167.1,960,55
Ophelia,1958010806,6,6.6,165.9,940,75
Ophelia,1958010812,6,7.0,164.8,944,75
Ophelia,1958010818,6,7.3,163.7,950,70
Ophelia,1958010900,6,7.4,162.6,955,65
Ophelia,1958010906,6,7.6,161.5,960,60
Ophelia,1958010912,6,7.4,160.1,962,60
Ophelia,1958010918,6,7.4,158.7,962,60
Ophelia,1958011000,6,7.3,157.4,963,60
Ophelia,1958011006,6,7.6,156.2,969,55
Ophelia,1958011012,6,7.8,154.7,972,55
Ophelia,1958011018,5,7.9,153.3,975,50
Ophelia,1958011100,5,7.9,152.0,982,45
Ophelia,1958011106,5,7.9,151.0,982,45
Ophelia,1958011112,5,7.9,149.8,982,45
Ophelia,1958011118,4,8.0,148.3,984,40
Ophelia,1958011200,5,8.1,146.9,980,45
Ophelia,1958011206,5,8.2,145.6,973,50
Ophelia,1958011212,5,8.3,144.2,967,50
Ophelia,1958011218,6,8.6,142.8,960,55
Ophelia,1958011300,6,9.0,141.7,955,60
Ophelia,1958011306,6,9.3,140.4,953,60
Ophelia,1958011312,6,9.6,139.2,948,65
Ophelia,1958011318,6,10.0,138.0,941,75
Ophelia,1958011400,6,10.3,137.2,940,75
Ophelia,1958011406,6,10.8,136.5,939,75
Ophelia,1958011412,6,11.1,136.0,944,70
Ophelia,1958011418,6,11.5,135.5,950,65
Ophelia,1958011500,6,11.9,135.2,955,60
Ophelia,1958011506,6,12.3,135.1,960,55
Ophelia,1958011512,5,12.5,135.0,968,50
Ophelia,1958011518,4,12.7,134.9,976,40
Ophelia,1958011600,4,12.8,135.0,984,35
Ophelia,1958011606,3,12.9,135.3,993,30
Ophelia,1958011612,3,12.4,134.3,995,25
Ophelia,1958011618,3,13.3,132.9,995,25
Ophelia,1958011700,2,14.5,132.7,1000,20
Ophelia,1958011706,2,15.2,133.1,1002,20
Ophelia,1958011712,1,16.0,133.6,1008,15
Ophelia,1958011718,0,16.8,134.2,1010,0
Ophelia,1958011800,0,17.5,135.0,1010,0
Irma,1953022006,2,8.3,153.2,1000,20
Irma,1953022012,2,9.3,151.9,1000,20
Irma,1953022018,2,9.9,150.3,1000,20
Irma,1953022100,3,10.3,148.5,990,30
Irma,1953022106,4,10.5,146.7,980,35
Irma,1953022112,4,11.2,145.5,980,40
Irma,1953022118,4,12.2,144.5,980,40
Irma,1953022200,4,12.8,143.5,980,40
Irma,1953022206,4,13.3,142.4,980,40
Irma,1953022212,4,13.6,141.4,980,40
Irma,1953022218,4,13.8,140.4,980,40
Irma,1953022300,5,14.1,139.4,975,50
Irma,1953022306,5,14.2,138.3,975,50
Irma,1953022312,5,14.2,136.9,980,45
Irma,1953022318,4,14.1,135.8,990,35
Irma,1953022400,4,13.9,134.8,990,35
Irma,1953022406,3,13.8,133.5,995,30
Irma,1953022412,3,13.8,132.0,995,30
Irma,1953022418,3,13.8,130.4,1000,25
Irma,1953022500,3,13.3,128.0,1000,25
Irma,1953022506,2,12.8,126.6,1006,20
Irma,1953022512,1,12.3,125.7,1012,12
Irma,1953022518,0,11.7,124.5,1012,0
Irma,1953022600,0,10.0,122.3,1012,0
Wanda,1974010900,0,8.0,132.2,1000,10
Wanda,1974010906,0,8.2,131.5,1000,10
Wanda,1974010912,1,8.6,130.9,998,15
Wanda,1974010918,2,9.2,130.5,996,20
Wanda,1974011000,3,9.9,130.9,996,25
Wanda,1974011006,3,10.5,131.8,992,30
Wanda,1974011012,3,11.2,132.6,993,30
Wanda,1974011018,3,11.8,133.1,994,25
Wanda,1974011100,2,12.3,133.7,995,20
Wanda,1974011106,2,12.7,134.7,996,20
Wanda,1974011112,1,13.1,135.9,997,15
Wanda,1974011118,1,13.3,136.9,998,15
Wanda,1974011200,1,13.7,137.9,999,15
Wanda,1974011206,2,14.3,138.9,995,20
Wanda,1974011212,2,14.6,140.1,993,20
Wanda,1974011218,2,14.7,141.3,995,20
Wanda,1974011300,1,14.8,142.8,998,15
Wanda,1974011306,1,15.0,144.6,1000,15
Wanda,1974011312,0,15.0,147.1,1002,10
Kujira,2009050112,1,12.8,124.0,1006,13
Kujira,2009050118,1,12.9,124.2,1004,13
Kujira,2009050200,1,13.0,124.3,1004,13
Kujira,2009050206,1,13.2,124.4,1002,15
Kujira,2009050212,1,13.4,124.5,1002,15
Kujira,2009050218,2,13.6,124.5,1000,18
Kujira,2009050300,2,13.9,124.6,996,20
Kujira,2009050306,2,14.1,125.0,990,23
Kujira,2009050312,3,14.5,125.7,990,25
Kujira,2009050318,3,15.0,126.5,985,28
Kujira,2009050400,3,15.7,127.4,980,30
Kujira,2009050406,4,16.4,128.4,975,33
Kujira,2009050412,4,16.8,129.6,960,40
Kujira,2009050418,5,17.1,131.1,950,45
Kujira,2009050500,4,17.6,132.7,960,40
Kujira,2009050506,4,18.3,134.0,960,40
Kujira,2009050512,4,18.8,135.4,960,40
Kujira,2009050518,4,19.5,136.9,960,40
Kujira,2009050600,4,20.4,138.2,960,40
Kujira,2009050606,4,21.6,139.9,960,40
Kujira,2009050612,4,22.7,141.3,965,38
Kujira,2009050618,4,24.2,142.9,975,33
Kujira,2009050700,3,26.0,143.8,985,28
Kujira,2009050706,2,28.2,145.1,990,23
Kujira,2009050712,9,30.2,147.3,995,18
Kujira,2009050718,9,32.3,149.3,998,18
Kujira,2009050800,9,34.4,150.9,1000,18
(nameless),2006030406,1,5.0,138.3,1000,15
(nameless),2006030412,1,5.5,138.0,1000,15
(nameless),2006030418,1,6.6,137.9,1000,15
(nameless),2006030500,1,6.9,137.7,1000,15
(nameless),2006030506,1,7.2,137.5,1000,15
(nameless),2006030512,1,7.5,137.5,1000,15
(nameless),2006030518,1,6.6,138.1,1002,12
(nameless),2006030600,1,5.2,137.3,1002,12
(nameless),2006030606,1,4.6,136.6,1002,12
(nameless),2006030612,1,4.4,135.6,1002,12
(nameless),2006030618,1,4.2,135.0,1002,12
(nameless),2006030700,1,4.1,134.4,1004,12
(nameless),1956011800,1,12.5,115.4,1004,12
(nameless),1956011806,1,13.5,116.0,1004,12
(nameless),1956011812,1,14.4,116.6,1002,12
(nameless),1956011818,1,15.2,116.9,1002,15
(nameless),1956011900,1,16.2,116.9,1002,15
(nameless),1956011906,1,17.3,117.3,1002,15
(nameless),1956011912,1,17.7,117.8,1004,12
