Storm Name,Intensity Category,Latitude (°N),Longitude (°E),Pressure (hPa),Max Sustained Wind (m/s),DateTime(UTC)
Vernon,1,12.0,113.5,1003,12,1984060716
Vernon,1,12.5,112.9,1002,15,1984060722
Vernon,1,13.0,112.6,1002,15,1984060804
Vernon,1,13.5,112.4,999,15,1984060810
Vernon,1,14.0,112.3,999,15,1984060816
Vernon,2,14.3,112.1,998,20,1984060822
Vernon,2,14.8,111.9,994,20,1984060904
Vernon,2,15.2,111.2,994,20,1984060910
Vernon,2,15.5,109.8,995,20,1984060916
Vernon,2,16.1,108.9,996,20,1984060922
Vernon,2,17.0,107.5,998,20,1984061004
Vernon,1,16.7,106.5,1000,15,1984061010
Vernon,1,16.3,104.5,1000,12,1984061016
Ophelia,1,4.2,170.9,1000,15,1958010616
Ophelia,2,4.8,170.2,995,20,1958010622
Ophelia,3,5.3,169.3,990,25,1958010704
Ophelia,4,5.7,168.3,980,35,1958010710
Ophelia,6,6.2,167.1,960,55,1958010716
Ophelia,6,6.6,165.9,940,75,1958010722
Ophelia,6,7.0,164.8,944,75,1958010804
Ophelia,6,7.3,163.7,950,70,1958010810
Ophelia,6,7.4,162.6,955,65,1958010816
Ophelia,6,7.6,161.5,960,60,1958010822
Ophelia,6,7.4,160.1,962,60,1958010904
Ophelia,6,7.4,158.7,962,60,1958010910
Ophelia,6,7.3,157.4,963,60,1958010916
Ophelia,6,7.6,156.2,969,55,1958010922
Ophelia,6,7.8,154.7,972,55,1958011004
Ophelia,5,7.9,153.3,975,50,1958011010
Ophelia,5,7.9,152.0,982,45,1958011016
Ophelia,5,7.9,151.0,982,45,1958011022
Ophelia,5,7.9,149.8,982,45,1958011104
Ophelia,4,8.0,148.3,984,40,1958011110
Ophelia,5,8.1,146.9,980,45,1958011116
Ophelia,5,8.2,145.6,973,50,1958011122
Ophelia,5,8.3,144.2,967,50,1958011204
Ophelia,6,8.6,142.8,960,55,1958011210
Ophelia,6,9.0,141.7,955,60,1958011216
Ophelia,6,9.3,140.4,953,60,1958011222
Ophelia,6,9.6,139.2,948,65,1958011304
Ophelia,6,10.0,138.0,941,75,1958011310
Ophelia,6,10.3,137.2,940,75,1958011316
Ophelia,6,10.8,136.5,939,75,1958011322
Ophelia,6,11.1,136.0,944,70,1958011404
Ophelia,6,11.5,135.5,950,65,1958011410
Ophelia,6,11.9,135.2,955,60,1958011416
