Storm Name,Intensity Category,Latitude (°N),Longitude (°E),Pressure (hPa),Max Sustained Wind (m/s),DateTime(UTC),ConvertedDateTime,sst,sp
Ophelia,1,4.2,170.9,1000,15,1958010616,1958-01-06T16,302.01343,100436.125
Ophelia,2,4.8,170.2,995,20,1958010622,1958-01-06T22,301.865,100618.56
Ophelia,3,5.3,169.3,990,25,1958010704,1958-01-07T04,301.906,100253.53
Ophelia,4,5.7,168.3,980,35,1958010710,1958-01-07T10,301.64038,100531.16
Ophelia,6,6.2,167.1,960,55,1958010716,1958-01-07T16,301.67163,100393.375
Ophelia,6,6.6,165.9,940,75,1958010722,1958-01-07T22,301.61597,100624.03
Ophelia,6,7.0,164.8,944,75,1958010804,1958-01-08T04,301.42456,100382.97
Ophelia,6,7.3,163.7,950,70,1958010810,1958-01-08T10,301.36304,100610.25
Ophelia,6,7.4,162.6,955,65,1958010816,1958-01-08T16,301.2556,100658.44
Ophelia,6,7.6,161.5,960,60,1958010822,1958-01-08T22,301.10327,100912.0
Ophelia,6,7.4,160.1,962,60,1958010904,1958-01-09T04,301.06128,100548.44
Ophelia,6,7.4,158.7,962,60,1958010910,1958-01-09T10,301.30933,100680.125
Ophelia,6,7.3,157.4,963,60,1958010916,1958-01-09T16,301.46948,100458.44
Ophelia,6,7.6,156.2,969,55,1958010922,1958-01-09T22,301.5962,100695.56
Ophelia,6,7.8,154.7,972,55,1958011004,1958-01-10T04,301.57373,100548.5
Ophelia,5,7.9,153.3,975,50,1958011010,1958-01-10T10,301.28955,100767.25
Ophelia,5,7.9,152.0,982,45,1958011016,1958-01-10T16,301.25635,100622.625
Ophelia,5,7.9,151.0,982,45,1958011022,1958-01-10T22,301.07544,100437.69
Ophelia,5,7.9,149.8,982,45,1958011104,1958-01-11T04,301.0813,100133.625
Ophelia,4,8.0,148.3,984,40,1958011110,1958-01-11T10,300.8645,100575.875
Ophelia,5,8.1,146.9,980,45,1958011116,1958-01-11T16,300.49927,100473.125
Ophelia,5,8.2,145.6,973,50,1958011122,1958-01-11T22,300.52368,100703.375
Ophelia,5,8.3,144.2,967,50,1958011204,1958-01-12T04,301.10083,100412.56
Ophelia,6,8.6,142.8,960,55,1958011210,1958-01-12T10,301.0774,100567.5
Ophelia,6,9.0,141.7,955,60,1958011216,1958-01-12T16,300.9807,100396.94
Ophelia,6,9.3,140.4,953,60,1958011222,1958-01-12T22,301.0122,100365.125
Ophelia,6,9.6,139.2,948,65,1958011304,1958-01-13T04,300.63916,100302.5
Ophelia,6,10.0,138.0,941,75,1958011310,1958-01-13T10,300.63916,100440.44
Ophelia,6,10.3,137.2,940,75,1958011316,1958-01-13T16,300.5171,100187.31
Ophelia,6,10.8,136.5,939,75,1958011322,1958-01-13T22,300.36694,100632.0
Ophelia,6,11.1,136.0,944,70,1958011404,1958-01-14T04,300.41675,100172.59
Ophelia,6,11.5,135.5,950,65,1958011410,1958-01-14T10,300.4734,100300.69
Ophelia,6,11.9,135.2,955,60,1958011416,1958-01-14T16,300.5105,100333.19
Ophelia,6,12.3,135.1,960,55,1958011422,1958-01-14T22,300.4292,100273.81
Ophelia,5,12.5,135.0,968,50,1958011504,1958-01-15T04,300.45752,100121.31
Ophelia,4,12.7,134.9,976,40,1958011510,1958-01-15T10,300.48486,100161.91
Ophelia,4,12.8,135.0,984,35,1958011516,1958-01-15T16,300.48486,100038.5
Ophelia,3,12.9,135.3,993,30,1958011522,1958-01-15T22,300.5293,100367.31
